"NRSV","Original"
"Gen.10:5","Gen.10:5"
"Gen.10:6","Gen.10:6"
"Gen.10:7","Gen.10:7"
"Gen.10:8","Gen.10:8"
"Gen.10:9","Gen.10:9"
"Gen.10:10","Gen.10:10"
"Gen.10:11","Gen.10:11"
"Gen.10:12","Gen.10:12"
"Gen.10:13","Gen.10:13"
"Gen.10:14","Gen.10:14"
"Gen.10:15","Gen.10:15"
"Gen.10:16","Gen.10:16"
"Gen.10:17","Gen.10:17"
"Gen.10:18","Gen.10:18"
"Gen.10:19","Gen.10:19"
"Gen.10:20","Gen.10:20"
"Gen.10:21","Gen.10:21"
"Gen.10:22","Gen.10:22"
"Gen.10:23","Gen.10:23"
"Gen.10:24","Gen.10:24"
"Gen.10:25","Gen.10:25"
"Gen.10:26","Gen.10:26"
"Gen.10:27","Gen.10:27"
"Gen.10:28","Gen.10:28"
"Gen.10:29","Gen.10:29"
"Gen.10:30","Gen.10:30"
"Gen.10:31","Gen.10:31"
"Gen.10:32","Gen.10:32"
"Gen.11:1","Gen.11:1"
"Gen.11:2","Gen.11:2"
"Gen.11:3","Gen.11:3"
"Gen.11:4","Gen.11:4"
"Gen.11:5","Gen.11:5"
"Gen.11:6","Gen.11:6"
"Gen.11:7","Gen.11:7"
"Gen.11:8","Gen.11:8"
"Gen.11:9","Gen.11:9"
"Gen.11:10","Gen.11:10"
"Gen.11:11","Gen.11:11"
"Gen.11:12","Gen.11:12"
"Gen.11:13","Gen.11:13"
"Gen.11:14","Gen.11:14"
"Gen.11:15","Gen.11:15"
"Gen.11:16","Gen.11:16"
"Gen.11:17","Gen.11:17"
"Gen.11:18","Gen.11:18"
"Gen.11:19","Gen.11:19"
"Gen.11:20","Gen.11:20"
"Gen.11:21","Gen.11:21"
"Gen.11:22","Gen.11:22"
"Gen.11:23","Gen.11:23"
"Gen.11:24","Gen.11:24"
"Gen.11:25","Gen.11:25"
"Gen.11:26","Gen.11:26"
"Gen.11:27","Gen.11:27"
"Gen.11:28","Gen.11:28"
"Gen.11:29","Gen.11:29"
"Gen.11:30","Gen.11:30"
